"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Maas_out_0.5","DEM_0.5","LANDCVI_selected_0.5","MGVF_0.5","SLOPE_0.5","WC_Prec_0.5","WC_Temp_0.5","cells","MaasPrecip_0.5","MaasTemp_0.5","colls_per_cell"
"1",51890,"Liscomb Quarry (TMM/UAM)","Dromaeosaurus albertensis","species","Dromaeosauridae","Dromaeosaurus","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,837,1.46973468417855e-06,264.902191162109,1
"2",51890,"Liscomb Quarry (TMM/UAM)","Ugrunaaluk kuukpikensis","species","Hadrosauridae","Ugrunaaluk","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,837,1.46973468417855e-06,264.902191162109,1
"3",51890,"Liscomb Quarry (TMM/UAM)","Lambeosaurinae","subfamily","Hadrosauridae","","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,837,1.46973468417855e-06,264.902191162109,1
"4",51890,"Liscomb Quarry (TMM/UAM)","Troodon formosus","species","Troodontidae","Troodon","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,837,1.46973468417855e-06,264.902191162109,1
"5",51890,"Liscomb Quarry (TMM/UAM)","Tyrannosauridae","family","Tyrannosauridae","","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,837,1.46973468417855e-06,264.902191162109,1
"6",51889,"Kikak-Tegoseak Quarry","Hadrosauridae","family","Hadrosauridae","","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,1003,2.40806161855289e-06,264.960632324219,2
"7",14495,"Pediomys Point, Colville River","Gypsonictops","genus","Gypsonictopidae","Gypsonictops","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,1003,1.44055491091422e-06,264.911102294922,2
"8",51889,"Kikak-Tegoseak Quarry","Troodon formosus","species","Troodontidae","Troodon","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,1003,2.40806161855289e-06,264.960632324219,2
"9",51889,"Kikak-Tegoseak Quarry","Pachyrhinosaurus perotorum","species","Ceratopsidae","Pachyrhinosaurus","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,1003,2.40806161855289e-06,264.960632324219,2
"10",14495,"Pediomys Point, Colville River","Dinosauria","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,1003,1.44055491091422e-06,264.911102294922,2
