"","collection_no","formation","occurrence_no","record_type","reid_no","flags","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc2","protected","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","formation3","stratgroup4","member5","lithdescript6","lithology17","lithadj18","lithification19","minor_lithology110","fossilsfrom111","lithology212","lithadj213","lithification214","minor_lithology215","fossilsfrom216","time_bins","time_contain","time_major","time_buffer","time_overlap","primary_reference","old_max_ma","old_min_ma","id","n_bins","bin_assignment","bin_midpoint","overlap_percentage","Target","plng","plat","cells","layer","data.lng","data.lat","Coll_count"
"1",11899,"Horseshoe Canyon",1171646,"occ",38536,"","Hypacrosaurus ? sp.","genus",56405,"","Hypacrosaurus",NA,"genus",56405,"Early Maastrichtian","",74,67.696,"Russell and Chamney",1967,18609,"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Hypacrosaurus",NA,NA,1,"specimens",-112.981903,51.819099,"AMNH 5225, ischium","2 miles below Tolman Ferry (150 ft level) [AMNH]",NA,"Red Deer River","CA","Alberta","","stated in text","4","outcrop","section 12?, township 33, range 22, W 4th meridian; 150 feet above east bank of Red Deer River, 2 miles below Tolman Ferry","gp_mid",-68.26,63.97,"101","CA","","Edmonton","Morrin","bed","","","","","",NA,"","upper part of formation (""Edmonton B""); 350 feet below top","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","B. Brown & P. Kaisen","1911","","","terrestrial",NA,"actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Horseshoe Canyon","Edmonton","Morrin","","not reported","","","","","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","D. A. Russell and T. P. Chamney. 1967. Notes on the biostratigraphy of dinosaurian and microfossil faunas in the Edmonton Formation (Cretaceous), Alberta. National Museum of Canada Natural History Papers 35:1-22",70.6,66,4565,2,"SC.2",69.75,68.27,"Hadrosauridae",-83.3286,59.8527,7057,1,-112.981903,51.819099,"Non-singleton"
"2",11899,"Horseshoe Canyon",139256,"occ",30781,"","Albertosaurus sarcophagus","species",56319,"","Albertosaurus sarcophagus",NA,"species",56319,"Early Maastrichtian","",74,67.696,"Russell",1970,4205,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus",NA,NA,1,"specimens",-112.981903,51.819099,"AMNH 5222","2 miles below Tolman Ferry (150 ft level) [AMNH]",NA,"Red Deer River","CA","Alberta","","stated in text","4","outcrop","section 12?, township 33, range 22, W 4th meridian; 150 feet above east bank of Red Deer River, 2 miles below Tolman Ferry","gp_mid",-68.26,63.97,"101","CA","","Edmonton","Morrin","bed","","","","","",NA,"","upper part of formation (""Edmonton B""); 350 feet below top","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","B. Brown & P. Kaisen","1911","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Horseshoe Canyon","Edmonton","Morrin","","not reported","","","","","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34",70.6,66,4549,2,"SC.2",69.75,68.27,"Tyrannosauridae",-83.3286,59.8527,7057,1,-112.981903,51.819099,"Non-singleton"
"3",11899,"Horseshoe Canyon",1134937,"occ",30779,"","Anodontosaurus lambei","species",63440,"","Anodontosaurus lambei",NA,"species",63440,"Early Maastrichtian","",74,67.696,"Arbour and Currie",2013,46759,"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ankylosauridae","Anodontosaurus",NA,NA,1,"specimens",-112.981903,51.819099,"AMNH 5223, skull","2 miles below Tolman Ferry (150 ft level) [AMNH]",NA,"Red Deer River","CA","Alberta","","stated in text","4","outcrop","section 12?, township 33, range 22, W 4th meridian; 150 feet above east bank of Red Deer River, 2 miles below Tolman Ferry","gp_mid",-68.26,63.97,"101","CA","","Edmonton","Morrin","bed","","","","","",NA,"","upper part of formation (""Edmonton B""); 350 feet below top","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","B. Brown & P. Kaisen","1911","","","terrestrial",NA,"actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Horseshoe Canyon","Edmonton","Morrin","","not reported","","","","","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","V. M. Arbour and P. J. Currie. 2013. Euoplocephalus tutus and the diversity of ankylosaurid dinosaurs in the Late Cretaceous of Alberta, Canada, and Montana, USA. PLoS ONE 8(5):e62421:1.-39",70.6,66,4623,2,"SC.2",69.75,68.27,NA,-83.3286,59.8527,7057,1,-112.981903,51.819099,"Non-singleton"
"4",11900,"Horseshoe Canyon",139257,"occ",NA,"","Albertosaurus n. sp. arctunguis","species",63710,"subjective synonym of","Albertosaurus sarcophagus",NA,"species",56319,"Early Maastrichtian","",74,67.696,"Parks",1928,12347,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus",NA,NA,1,"specimens",-112.818901,51.542702,"ROM 807 (= Cf.5306)","2.5 miles above Bleriot ferry, Red Deer River (ROM)",NA,"","CA","Alberta","","stated in text","4","small collection","section 27 or 34, township 30, range 21, W 4th meridian; 100 feet above west bank of Red Deer River; 2.5 miles above Bleriot ferry (possibly from Kneehills Creek)","gp_mid",NA,NA,"coordinates not computable using this model","CA","","Edmonton","Horsethief","bed","","","","","",NA,"","lower part of formation (""Edmonton A""); 8 coal","","not reported","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","good","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","ROM","","","","G. Lindblad, R. Hornell, J. C. Jack","1923","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Horseshoe Canyon","Edmonton","Horsethief","","not reported","","","","Y","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","W. A. Parks. 1928. Albertosaurus arctunguis, a species of therapodous dinosaur from the Edmonton Formation of Alberta. University of Toronto Studies, Geology Series 25:1-42",70.6,66,4519,2,"SC.2",69.75,68.27,"Tyrannosauridae",-83.3094,59.5586,7057,1,-112.818901,51.542702,"Non-singleton"
"5",11901,"Horseshoe Canyon",139258,"occ",18014,"","n. gen. Albertosaurus n. sp. sarcophagus","species",56319,"","Albertosaurus sarcophagus",NA,"species",56319,"Early Maastrichtian","",74,67.696,"Osborn",1905,9259,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus",NA,NA,1,"specimens",-112.8423,51.469898,"NMC 5600","Kneehills Creek, GSC (NMC 5600)",NA,"Knee Hills Creek, Kirkpatrick Coulee, Dunphy","CA","Alberta","","stated in text","4","small collection","section 11?, township 29, range 21, W. 4th meridian; approximately 100 feet above Red Deer River about 2 mi upstream from mouth of Kneehills Creek (tributary of Red Deer River). Possibly from Kirkpatrick Coulee, near the Dunphy cemetery","gp_mid",NA,NA,"coordinates not computable using this model","CA","","Edmonton","Bleriot","bed","","","","","",NA,"","lower part of Edmonton Formation (""Edmonton A""); 7-8 coal","""light sandstone""","sandstone","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","good","","snapshot","","dispersed","","","","occasional","","","","taxonomic","selective quarrying,mechanical,field collection","GSC","","","","J. B. Tyrrell & T. C. Weston","9 Jun 1884","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Horseshoe Canyon","Edmonton","Bleriot","""light sandstone""","sandstone","","","","Y","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","H. F. Osborn. 1905. Tyrannosaurus and other Cretaceous carnivorous dinosaurs. Bulletin of the American Museum of Natural History 21(14):259-265",70.6,66,4533,2,"SC.2",69.75,68.27,"Tyrannosauridae",-83.3814,59.494,7223,1,-112.8423,51.469898,"Non-singleton"
"6",11902,"Horseshoe Canyon",139259,"occ",NA,"","Albertosaurus sarcophagus","species",56319,"","Albertosaurus sarcophagus",NA,"species",56319,"Early Maastrichtian","",74,67.696,"Russell",1970,4205,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus",NA,NA,1,"specimens",-112.702202,51.4408,"NMC 2196","Drumheller, Red Deer River (NMC Loc. 5)",NA,"NMC 2196","CA","Alberta","","stated in text","4","local area","section 35?, township 28, range 20, W. 4th meridian; west bank of Red Deer River near Drumheller","gp_mid",NA,NA,"coordinates not computable using this model","CA","","Edmonton","Horsethief","bed","","","","","",NA,"","lower part of Edmonton formation (A); above 7 coal","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","","","snapshot","","","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","C. H. Sternberg & sons","1912","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Horseshoe Canyon","Edmonton","Horsethief","","not reported","","","","","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34",70.6,66,4593,2,"SC.2",69.75,68.27,"Tyrannosauridae",-83.2359,59.4392,7223,1,-112.702202,51.4408,"Non-singleton"
"7",11916,"Horseshoe Canyon",139291,"occ",38040,"","Albertosaurus sarcophagus","species",56319,"","Albertosaurus sarcophagus",NA,"species",56319,"Early Maastrichtian","",74,67.696,"Mallon et al.",2020,76179,"Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus",NA,NA,1,"specimens",-112.934799,51.928299,"NMC 11315 (specimen of an immature individual)","South bank of Red Deer River, upstream of Tolman Bridge",NA,"Near Scollard","CA","Alberta","","stated in text","4","small collection","SW 1/8 of section 20, township 34, range 21, W. 4th meridian; 150 feet above south bank of Red Deer River; near Scollard, AB, upriver from Tolman Bridge.","gp_mid",-68.08,64.06,"101","CA","","Edmonton","Tolman","bed","","","","","",NA,"","""Edmonton B""; possibly same horizon as the Albertosaurus Bonebed","","sandstone","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","",NA,"","body","good","","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","C. M. Sternberg & crew","1926","","","terrestrial",NA,"actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",NA,"Horseshoe Canyon","Edmonton","Tolman","","sandstone","","","","Y","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","J. C. Mallon, J. R. Bura, and D. Schumann, P. J. Currie. 2020. A Problematic Tyrannosaurid (Dinosauria: Theropoda) Skeleton and its Implications for Tyrannosaurid Diversity in the Horseshoe Canyon Formation (Upper Cretaceous) of Alberta. The Anatomical Record 303:673-690",70.6,66,4607,2,"SC.2",69.75,68.27,"Tyrannosauridae",-83.2052,59.9473,7057,1,-112.934799,51.928299,"Non-singleton"
"8",13294,"North Horn",150084,"occ",NA,"","Dinosauria indet.","unranked clade",52775,"","Dinosauria",NA,"unranked clade",52775,"Late Maastrichtian","",70,67.5,"Difley and Ekdale",1999,4413,"Chordata","Reptilia","","","",NA,NA,NA,"",-111.254166,39.267223,"three forms known from three eggshell types, plus dinosaur bone fragments","Lower Coal Sequence (Unit 3, 160 - 199 meters) North Horn Mountain",NA,"KT Boundary Interval (North Horn Formation)","US","Utah","Emery","based on nearby landmark","seconds","local area","North Horn Mountain (Sections 3, 4, 33, 34, 35, and 36, T.18S and T.19S., R.6E., Salty Lake Base Line and Meridian (SLBM)\r\nLat. Long. at Joes Valley Reservoir.\r\n","gp_mid",NA,NA,"coordinates not computable using this model","US","FED","","","group of beds","","Lower Coal Section, Unit 3","Lower Coal Section, Unit 3","top to bottom","",NA,"","This fossil assemblage consists of collections from different stratigraphic levels; fossils are collected from between 160 and 199 meters (Lower Coal Sequence, Unit 3 from the base of the North Horn Formation at North Horn Mountain.","""The lower coal sequence chiefly consists of thinly bedded, high-organic rocks and carbonate rocks interbedded with sandstones and thin coals."" ","sandstone","","","","","","","","","","fluvial-lacustrine indet.","","""represents a paleoenvironment of shallow ephemeral lakes and streams dissecting swampy wetlands...in a tectonically subsiding basin""","macrofossils,microfossils","","","","","",NA,"","body","good","","","","dispersed","","","","frequent","","","Dinosaur bone and eggshell material are rare. ""Eggshells occur at different levels in the coal sequence and are associated with different rock types."" Authors do not believe the eggshell to be reworked- eggshell often occurs with gastropods and bivalves.","biostratigraphic","surface (in situ),chemical,mechanical,sieve,field collection","","some microfossils","","","","","","Palynomorphs are present in this assemblage, but no distinctly Cretaceous species. ","terrestrial",NA,"actively mobile","","","","","","","phosphatic","","",NA,"North Horn","","","""The lower coal sequence chiefly consists of thinly bedded, high-organic rocks and carbonate rocks interbedded with sandstones and thin coals."" ","sandstone","","","","","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","R. Difley and A. A. Ekdale. 1999. Biostratigraphic aspects of the Cretaceous-Tertiary (KT) boundary interval at North Horn Mountain, Emery County, Utah. Utah Geological Survey Miscellaneous Publication 99-(1):389-398",70.6,66,7152,1,"SC.2",69.75,100,NA,-88.0929,47.4937,11210,1,-111.254166,39.267223,"Non-singleton"
"9",14499,"St. Mary River",163015,"occ",NA,"","Cimolodon nitidus","species",45122,"","Cimolodon nitidus",NA,"species",45122,"Edmontonian","",71.814,66.97,"Sloan and Russell",1974,3197,"Chordata","Mammalia","Multituberculata","Cimolodontidae","Cimolodon",NA,NA,NA,"",-114.599998,49.799999,"","Lundbreck",NA,"Locality 11","CA","Alberta","","based on nearby landmark","1","small collection","Oldman River, 15 mi N of Lundbreck","gp_mid",-72.36,62.66,"101","CA","","","","","","","","","",NA,"","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","",NA,"","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","I believe Lundbreck is between Coleman and Crowsnest, i.e., about 49*38' N 114*36' W; the collections latitude is therefore about 49*50' N<br>12 m below top of formation<br>only record at this site","terrestrial",NA,"actively mobile","","","omnivore","","","","phosphatic","","",NA,"St. Mary River","","","","not reported","","","","","","","","","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","R. E. Sloan and L. S. Russell. 1974. Mammals from the St. Mary River Formation (Cretaceous) of southwestern Alberta. Life Science Contribution, Royal Ontario Museum 95:1-21",70.6,66,8207,2,"SC.2",69.75,89.05,NA,-87.4249,58.2828,7717,1,-114.599998,49.799999,"Singleton"
"10",14500,"Horseshoe Canyon",163016,"occ",NA,"","Didelphodon n. sp. coyi","species",45707,"","Didelphodon coyi",NA,"species",45707,"Late Campanian","",74,67.696,"Fox and Naylor",1986,1540,"Chordata","Mammalia","NO_ORDER_SPECIFIED","Stagodontidae","Didelphodon",NA,NA,NA,"",-112.5,51.599998,"","Michichi Creek",NA,"TMP HC-10","CA","Alberta","","based on nearby landmark","1","small collection","","gp_mid",NA,NA,"coordinates not computable using this model","CA","","Edmonton","Drumheller","bed","","","","","",NA,"","= HCF A\r\n\r\nFor revised age stratigraphy of the Horseshoe Canyon Formation, see Eberth and Braman 2012 and Eberth et al. 2020","","not reported","","","","","","","","","","terrestrial indet.","","","mesofossils","","","","","",NA,"","body","","","","","","","","","","","","","taxonomic","","","","","","","","","only one taxon","terrestrial",NA,"actively mobile","aquatic","","durophage","viviparous","","","phosphatic","","",NA,"Horseshoe Canyon","Edmonton","Drumheller","","not reported","","","","","","","","","","Campanian","-","Campanian","Campanian, Maastrichtian","Campanian, Maastrichtian","R. C. Fox and B. G. Naylor. 1986. A new species of Didelphodon Marsh (Marsupialia) from the Upper Cretaceous of Alberta, Canada: paleobiology and phylogeny. Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen 172(3):357-380",83.5,70.6,4472,2,"SC.2",69.75,68.27,NA,-82.9025,59.5511,7058,1,-112.5,51.599998,"Non-singleton"
